swing_id,direction,trend,swing_pips,bars,swing_trend_aligned,prior_direction,prior_swing_pips,prior_bars,current_end_retracement_pct,current_end_fib_zone,reversal_pct,reversal_fib_zone
89,DOWN,DOWN,20.700000000000163,335,True,UP,36.19999999999956,796.0,57.182320441990086,50.0-61.8,57.182320441990086,50-61.8
92,UP,UP,26.80000000000016,269,True,DOWN,28.300000000001106,495.0,94.6996466431064,78.6-100.0,94.6996466431064,78.6-100
93,DOWN,DOWN,29.90000000000048,410,True,UP,26.80000000000016,269.0,111.56716417910562,100.0-127.2,111.56716417910562,100-127.2
94,UP,UP,50.3000000000009,1256,True,DOWN,29.90000000000048,410.0,168.22742474916416,161.8-200.0,168.22742474916416,161.8-200
97,DOWN,DOWN,50.09999999999959,966,True,UP,43.10000000000037,220.0,116.24129930394238,100.0-127.2,116.24129930394238,100-127.2
98,UP,UP,47.50000000000032,411,True,DOWN,50.09999999999959,966.0,94.81037924151838,78.6-100.0,94.81037924151838,78.6-100
105,DOWN,DOWN,55.30000000000035,524,True,UP,21.899999999999142,168.0,252.5114155251256,200.0-261.8,252.5114155251256,200-261.8
107,DOWN,DOWN,36.30000000000023,467,True,UP,19.900000000001583,663.0,182.4120603014941,161.8-200.0,182.4120603014941,161.8-200
109,DOWN,DOWN,39.80000000000095,479,True,UP,32.7999999999995,172.0,121.3414634146389,100.0-127.2,121.3414634146389,100-127.2
111,DOWN,DOWN,60.50000000000111,419,True,UP,35.400000000000986,372.0,170.90395480225826,161.8-200.0,170.90395480225826,161.8-200
114,UP,UP,11.900000000000244,47,True,DOWN,14.499999999999512,335.0,82.06896551724581,78.6-100.0,82.06896551724581,78.6-100
115,DOWN,DOWN,26.50000000000041,355,True,UP,11.900000000000244,47.0,222.689075630251,200.0-261.8,222.689075630251,200-261.8
116,UP,UP,83.49999999999858,1762,True,DOWN,26.50000000000041,355.0,315.09433962263125,261.8-361.8,315.09433962263125,261.8-361.8
118,UP,UP,61.59999999999943,548,True,DOWN,22.799999999998377,652.0,270.17543859650795,261.8-361.8,270.17543859650795,261.8-361.8
125,DOWN,DOWN,25.50000000000052,428,True,UP,18.199999999999328,151.0,140.10989010989817,127.2-161.8,140.10989010989817,127.2-161.8
128,UP,UP,76.99999999999818,992,True,DOWN,18.799999999998818,544.0,409.5744680851225,361.8-423.6,409.5744680851225,361.8-423.6
131,DOWN,DOWN,39.70000000000029,315,True,UP,25.19999999999856,399.0,157.5396825396927,127.2-161.8,157.5396825396927,127.2-161.8
135,DOWN,DOWN,29.50000000000008,424,True,UP,18.399999999998418,429.0,160.32608695653596,127.2-161.8,160.32608695653596,127.2-161.8
137,DOWN,DOWN,33.09999999999924,440,True,UP,20.000000000000018,100.0,165.49999999999605,161.8-200.0,165.49999999999605,161.8-200
141,DOWN,DOWN,36.30000000000023,134,True,UP,28.300000000001106,301.0,128.2685512367449,127.2-161.8,128.2685512367449,127.2-161.8
143,DOWN,DOWN,79.29999999999993,684,True,UP,25.800000000000267,835.0,307.3643410852679,261.8-361.8,307.3643410852679,261.8-361.8
145,DOWN,DOWN,31.89999999999804,266,True,UP,24.199999999998667,250.0,131.818181818181,127.2-161.8,131.818181818181,127.2-161.8
147,DOWN,DOWN,28.199999999998223,190,True,UP,19.399999999998307,394.0,145.36082474227155,127.2-161.8,145.36082474227155,127.2-161.8
